Amount,PersonID,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
4726,C2306,2,4,356,18,18,1082,12,2,Area1,1
4000,C2307,4,7,393,19,18,3265,19,2,Area1,3
2825,C2311,3,6,453,17,17,7495,17,2,Area1,3
3250,C2312,4,13,149,15,15,616,15,2,Area1,3
3113,C2316,3,7,239,18,13,446,18,2,Area1,3
3063,C2319,3,5,187,12,12,476,12,2,Area1,2
4386,C2320,5,14,382,15,13,949,10,1,Area1,2
3938,C2329,2,6,315,13,12,1417,13,2,Area1,2
5125,C2333,3,8,205,23,16,1863,23,2,Area1,3
5375,C2338,3,6,336,3,4,200,2,2,Area1,3
7063,C2339,2,7,448,19,19,1001,19,2,Area1,2
2750,C2346,4,7,278,9,9,0,9,2,Area1,3
2625,C2347,4,8,449,9,9,629,9,2,Area1,2
4250,C2352,2,5,298,4,4,0,0,2,Area1,2
2938,C2355,3,4,363,17,17,1238,17,2,Area1,1
4031,C2357,3,7,432,23,20,4676,23,2,Area1,1
5250,C2358,3,9,395,23,20,596,22,2,Area1,2
3000,C2361,2,7,373,13,11,617,13,1,Area1,3
3650,C2366,3,7,294,18,17,1463,18,2,Area1,3
5436,C2373,3,6,448,29,25,705,22,2,Area1,3
